"Nome da conta",Idade,Gênero,Anúncios,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Início dos relatórios","Término dos relatórios"
,,,,71550,84154,1.17615653,BRL,230.95,,2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Carrossel produtos",11005,13516,1.22816901,BRL,28.46699779,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",18383,19136,1.04096176,BRL,21.19086413,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",7431,8036,1.08141569,BRL,9.57195427,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Video Mulher brava",489,904,1.84867076,BRL,9.48,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Video Mulher brava",373,701,1.87935657,BRL,9.32,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Video comece pelos acessórios;...e mais 1 anúncio",7985,8482,1.0622417,BRL,8.72690176,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Carrossel produtos",2724,3217,1.18098385,BRL,7.76190804,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Novo anúncio de Engajamento",66,160,2.42424242,BRL,4.64,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Video Mulher brava",184,264,1.43478261,BRL,4.6,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Carrossel produtos",1484,1604,1.08086253,BRL,4.45109417,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Video Mulher brava",310,502,1.61935484,BRL,4.07,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",760,789,1.03815789,BRL,3.45,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Video comece pelos acessórios;...e mais 1 anúncio",2497,2609,1.04485382,BRL,3.4170403,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"Post garantia; Post acessórios para cada ocasião;...e mais 3 anúncios",2139,2450,1.14539504,BRL,3.25563414,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Novo anúncio de Engajamento",69,197,2.85507246,BRL,3.24,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",35-44,female,"carrossel imagens;...e mais 1 anúncio",301,351,1.16611296,BRL,3.21,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Novo anúncio de Engajamento",35,99,2.82857143,BRL,3.19,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",45-54,female,"Instagram Post",134,148,1.10447761,BRL,2.93,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"carrossel imagens;...e mais 1 anúncio",378,441,1.16666667,BRL,2.84,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",25-34,female,"Video Super Promoção",126,209,1.65873016,BRL,2.81,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
"Pandox inspirações Conta de anúncios",18-24,female,"Publicação do Instagram: Pulseira 80,00 💳
1 charm...",729,762,1.04526749,BRL,2.73,"Clique de 7 dias ou visualização de 1 dia",2025-02-01,2025-02-19
